"country","countryiso3","1 yes 0 no_electoral_demo.28902_2013","1 yes 0 no_electoral_demo.28902_2014","1 yes 0 no_electoral_demo.28902_2015","1 yes 0 no_electoral_demo.28902_2016","1 to 7 scale_civil_libert.40985_2013","1 to 7 scale_civil_libert.40985_2014","1 to 7 scale_civil_libert.40985_2015","1 to 7 scale_civil_libert.40985_2016","1 to 7 scale_civil_libert.40985_2017","1 to 7 scale_civil_libert.40985_2018","1 to 7 scale_political_ri.40986_2013","1 to 7 scale_political_ri.40986_2014","1 to 7 scale_political_ri.40986_2015","1 to 7 scale_political_ri.40986_2016","1 to 7 scale_political_ri.40986_2017","1 to 7 scale_political_ri.40986_2018","1 to 3 scale_freedom_stat.40987_2013","1 to 3 scale_freedom_stat.40987_2014","1 to 3 scale_freedom_stat.40987_2015","1 to 3 scale_freedom_stat.40987_2016","1 to 3 scale_freedom_stat.40987_2017","1 to 3 scale_freedom_stat.40987_2018"
"Turkmenistan","TKM",0,0,0,0,116464,116464,116464,116464,116464,116464,116464,116464,116464,116464,116464,116464,14341,14341,14341,14341,14341,14341
"Timor-Leste","TLS",2,2,2,2,66165,66165,37943,37943,37943,37943,37943,37943,37943,37943,37943,20899,20899,20899,20899,20899,20899,37943
"Tonga","TON",1,1,1,1,20899,20899,20899,20899,20899,20899,37943,20899,20899,20899,20899,20899,37943,37943,37943,37943,37943,NA
"Trinidad and Tobago","TTO",1,1,1,1,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,37943,37943,37943,37943,37943,37943
"Tunisia","TUN",1,1,1,1,66165,37943,37943,37943,37943,37943,37943,37943,14341,14341,14341,20899,20899,20899,37943,37943,37943,37943
"Turkey","TUR",1,1,1,0,66165,66165,66165,66165,91179,107856,37943,37943,37943,37943,66165,91179,20899,20899,20899,20899,20899,14341
"Tuvalu","TUV",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Tanzania","TZA",1,1,1,1,37943,37943,37943,66165,66165,66165,37943,37943,37943,37943,37943,66165,20899,20899,20899,20899,20899,20899
"Uganda","UGA",0,0,0,0,66165,66165,91179,91179,91179,66165,91179,107856,107856,107856,107856,107856,20899,20899,14341,14341,14341,20899
"Ukraine","UKR",1,1,1,1,37943,37943,37943,37943,37943,37943,66165,66165,37943,37943,37943,37943,20899,20899,20899,20899,20899,20899
"Uruguay","URY",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"United States","USA",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,20899,37943,37943,37943,37943,37943,37943
