"country","countryiso3","SL.EMP.VULN.FE.ZS_2013","SL.EMP.VULN.FE.ZS_2014","SL.EMP.VULN.FE.ZS_2015","SL.EMP.VULN.FE.ZS_2016","SL.EMP.VULN.FE.ZS_2017","SL.EMP.VULN.FE.ZS_2018","SL.EMP.VULN.FE.ZS_2019"
"Norway","NOR",3.36599992215633,3.55900005996227,3.78899994492531,3.63999992609024,3.33099994808436,3.47400009632111,3.46300005912781
"OECD members","OED",12.2876835670495,12.0462652665587,11.9078957928384,11.7327515965811,11.5913227181648,11.4717968724376,11.3901381278639
"Oman","OMN",3.63000003993512,3.6730000525713,3.65299996733666,3.6359999626875,3.71099995076657,3.71599990129471,3.7579999268055
"Other small states","OSS",38.2988252570346,38.0326076622549,37.7839487037772,37.5251900865141,37.7295952811518,37.9909390792536,38.0637730959738
"Pacific island small states","PSS",63.5200015896075,63.4957707658029,63.5649634228235,63.6172844799464,63.3933800558989,63.3075440676996,63.17394346475
"Pakistan","PAK",75.2880020141601,73.431999206543,75.0550003051758,75.9230003356934,73.7789993286133,71.4899997711182,71.2850017547607
"Panama","PAN",28.3110003471375,27.7320008277893,28.7570009231567,31.1329989433288,30.5150003433227,33.5189990997314,33.416000366211
"Papua New Guinea","PNG",87.8360023498535,87.5669975280762,87.4019966125488,87.3069992065429,87.2350006103516,87.1860008239746,87.0629997253418
"Paraguay","PRY",40.4619989395142,40.7090005874634,41.8529996871948,42.2590007781983,42.8459997177124,41.0410003662109,40.6890001296997
"Peru","PER",58.4599990844726,58.6589984893799,57.7119998931885,58.0330009460449,58.2280006408691,57.7889995574951,57.3089981079101
"Philippines","PHL",42.3800001144409,42.9939994812012,41.4770002365112,40.0460004806519,38.2019996643067,37.382999420166,37.3079996109009
"Poland","POL",15.5929999351501,14.9479999542236,15.0329999923707,14.2639997005463,13.5840003490448,13.3169994354248,13.1160001754761
"Portugal","PRT",14.1509996056557,11.7540000081062,11.0859999656677,10.338999569416,9.73500004410744,9.34700044989586,9.40099984407425
