"country","countryiso3","SP.POP.1564.TO.ZS_2013","SP.POP.1564.TO.ZS_2014","SP.POP.1564.TO.ZS_2015","SP.POP.1564.TO.ZS_2016","SP.POP.1564.TO.ZS_2017","SP.POP.1564.TO.ZS_2018","SP.POP.1564.TO.ZS_2019"
"Portugal","PRT",65.6794539035107,65.4166096351603,65.1513051593257,64.961544860907,64.7752200096282,64.5882346402803,64.3912242168073
"Post-demographic dividend","PST",66.2946816572001,66.0271561438697,65.7543482809841,65.4944092716018,65.2248187177829,64.9540038266679,64.6878485682685
"Pre-demographic dividend","PRE",52.5248694390391,52.6958904031527,52.8991549634006,53.0589150343071,53.2591078971081,53.4943352593295,53.7580946332923
"Puerto Rico","PRI",65.7145923150995,65.5145306213213,65.3705229426548,65.1181115553017,64.8266710750531,64.4890636781993,64.0421312002967
"Qatar","QAT",85.9754067279701,85.7650746300217,85.5676206586091,85.3922619796607,85.2571339230925,85.08916547614,84.8809367857469
"Romania","ROU",68.0417842030329,67.8247129032693,67.5084309171689,67.1542968794398,66.6687883755184,66.1267436456077,65.6359760773252
"Russian Federation","RUS",70.7759294758889,70.1777752619242,69.5693060285516,68.8251195317792,68.1027136368961,67.4112110994962,66.7509502286713
"Rwanda","RWA",56.3891557334396,56.5815260884746,56.7196299504155,56.9103561137722,57.0141076329353,57.0862309044811,57.2057147608884
"Samoa","WSM",57.0633081303286,56.9126162073863,56.6685442321704,56.7543115634719,56.770342765879,56.8788909340281,57.2027986219983
"Sao Tome and Principe","STP",53.5965473977937,53.6441063317784,53.7802358698704,53.9756036353437,54.2375500388722,54.5543719316868,54.8931441113013
"Saudi Arabia","SAU",69.9822631121548,70.6265343498186,71.1564409828756,71.3689917104061,71.5334036893369,71.6430638491404,71.7211314124727
"Senegal","SEN",53.3621444239417,53.4072197025991,53.4647935011513,53.5572536373883,53.6891458819127,53.8577459283503,54.0616544893082
