"country","countryiso3","latest.year_score_security_apparatus.28904","latest.value_score_security_apparatus.28904","latest.year_score_uneven_development.28905","latest.value_score_uneven_development.28905","latest.year_score_group_grievance.28907","latest.value_score_group_grievance.28907","latest.year_score_human_flight.28908","latest.value_score_human_flight.28908","latest.year_score_human_rights.28909","latest.value_score_human_rights.28909","latest.year_score_legitimacy_of_the_s.28910","latest.value_score_legitimacy_of_the_s.28910","latest.year_score_public_services.28911","latest.value_score_public_services.28911"
"Cabo Verde","CPV",2017,4.2,2017,5.3,2017,8.1,2017,5.5,2017,4.1,2017,8,2017,6
"Costa Rica","CRI",2017,3.9,2017,2.4,2017,4.1,2017,3.8,2017,4.2,2017,4.1,2017,3.9
"Cuba","CUB",2017,4,2017,7.6,2017,5.1,2017,7,2017,4,2017,5.2,2017,4.1
"Cyprus","CYP",2017,5.3,2017,4.8,2017,9,2017,7.9,2017,6.3,2017,4,2017,2.5
"Czech Republic","CZE",2017,3.8,2017,4.7,2017,2.7,2017,5,2017,4.8,2017,2.8,2017,2.6
"Germany","DEU",2017,5.4,2017,1,2017,1,2017,2.3,2017,5,2017,2.1,2017,1.1
"Djibouti","DJI",2017,7.3,2017,8.2,2017,8.7,2017,7.3,2017,6.5,2017,5.4,2017,7.9
"Denmark","DNK",2017,2.1,2017,0.9,2017,1,2017,1.4,2017,4.4,2017,1.9,2017,1
"Dominican Republic","DOM",2017,3.3,2017,5.5,2017,5.4,2017,6.2,2017,5.8,2017,7.1,2017,6.3
"Algeria","DZA",2017,6.8,2017,6.9,2017,4.9,2017,7.1,2017,7.1,2017,5.8,2017,6
"Ecuador","ECU",2017,5.7,2017,6.5,2017,6.3,2017,8.2,2017,7.3,2017,5.8,2017,6.5
"Egypt, Arab Rep.","EGY",2017,7.3,2017,8.2,2017,7.9,2017,8.8,2017,8.8,2017,4.7,2017,4.9
"Eritrea","ERI",2017,8.3,2017,9.3,2017,7.7,2017,8.1,2017,7.1,2017,8.3,2017,8.4
"Spain","ESP",2017,1.9,2017,2.8,2017,1.8,2017,6.3,2017,5.7,2017,1.9,2017,2.2
"Estonia","EST",2017,3.1,2017,2.7,2017,4.3,2017,5.9,2017,7.3,2017,4,2017,2.9
"Ethiopia","ETH",2017,9.3,2017,8.2,2017,8.7,2017,8.7,2017,9.1,2017,7.6,2017,8.8
"Finland","FIN",2017,2.3,2017,0.9,2017,1,2017,1.1,2017,1.8,2017,2.3,2017,1
"Fiji","FJI",2017,3.1,2017,6.9,2017,7.2,2017,7.9,2017,6.9,2017,8.2,2017,5
"France","FRA",2017,2.5,2017,1.3,2017,1.8,2017,1.9,2017,7,2017,2.2,2017,1.1
"Micronesia, Fed. Sts.","FSM",2017,3.9,2017,5.5,2017,9.5,2017,5.6,2017,4,2017,9.8,2017,6
"Gabon","GAB",2017,4.5,2017,8.2,2017,5.7,2017,7.4,2017,3.8,2017,6.1,2017,6.7
"United Kingdom","GBR",2017,2.1,2017,1.5,2017,1,2017,4.5,2017,6.4,2017,2.1,2017,1.6
"Georgia","GEO",2017,7.5,2017,8.3,2017,7.4,2017,9.1,2017,7.9,2017,4.9,2017,4.3
"Ghana","GHA",2017,5,2017,4.2,2017,6.7,2017,5.2,2017,4.4,2017,8.2,2017,7.8
"Guinea","GIN",2017,8.2,2017,9.6,2017,7.4,2017,9.6,2017,8.6,2017,7.4,2017,9.5
"Gambia, The","GMB",2017,6.8,2017,8.6,2017,7,2017,7.8,2017,3.8,2017,8.3,2017,7.8
"Guinea-Bissau","GNB",2017,7.3,2017,9.2,2017,8.3,2017,9.6,2017,5.2,2017,8.1,2017,9.4
"Equatorial Guinea","GNQ",2017,3.9,2017,9.8,2017,5,2017,8.2,2017,6.3,2017,5.5,2017,7.9
"Greece","GRC",2017,6.5,2017,6.7,2017,6.1,2017,4.1,2017,5.4,2017,3.3,2017,3.8
"Grenada","GRD",2017,3,2017,5.4,2017,7.1,2017,5.6,2017,3.8,2017,8.4,2017,3.8
"Guatemala","GTM",2017,5.6,2017,6.5,2017,5.2,2017,7.1,2017,8.5,2017,7.3,2017,7.5
"Guyana","GUY",2017,3.8,2017,5.4,2017,7.3,2017,5.1,2017,6.7,2017,9.4,2017,6.2
"Honduras","HND",2017,4.3,2017,6.8,2017,7.5,2017,6.8,2017,5.9,2017,6.4,2017,6.8
"Croatia","HRV",2017,7,2017,2.9,2017,4.6,2017,4.4,2017,5.8,2017,4.7,2017,2.4
"Haiti","HTI",2017,7.7,2017,9.7,2017,10,2017,9.6,2017,6.5,2017,8.8,2017,9.7
"Hungary","HUN",2017,6.5,2017,6.1,2017,3.9,2017,5.3,2017,4.8,2017,3.3,2017,3.2
"Indonesia","IDN",2017,5.4,2017,5.1,2017,5.2,2017,7,2017,7.1,2017,6.9,2017,5.9
"India","IND",2017,5.3,2017,4.7,2017,5.4,2017,7.3,2017,8.3,2017,6.1,2017,7.4
"Ireland","IRL",2017,2,2017,1,2017,1.4,2017,1.5,2017,1.4,2017,2.8,2017,1.4
"Iran, Islamic Rep.","IRN",2017,6.5,2017,9,2017,6.5,2017,9.6,2017,9.3,2017,6.5,2017,4.5
"Iraq","IRQ",2017,9.9,2017,9.5,2017,9.7,2017,9.6,2017,9.6,2017,7.7,2017,8.2
"Iceland","ISL",2017,2,2017,1.3,2017,4.1,2017,1.8,2017,1.3,2017,2.8,2017,1.2
"Italy","ITA",2017,5.5,2017,3.7,2017,2.5,2017,4.9,2017,4.8,2017,2,2017,2.7
