"country","countryiso3","SL.EMP.VULN.MA.ZS_2013","SL.EMP.VULN.MA.ZS_2014","SL.EMP.VULN.MA.ZS_2015","SL.EMP.VULN.MA.ZS_2016","SL.EMP.VULN.MA.ZS_2017","SL.EMP.VULN.MA.ZS_2018","SL.EMP.VULN.MA.ZS_2019"
"Korea, Dem. People’s Rep.","PRK",83.0010013580322,82.9979991912842,82.8360004425049,83.0999984741211,82.6909999847412,82.5020008087158,82.4400024414063
"Korea, Rep.","KOR",21.0210001468659,20.3739991188049,19.5019997358322,19.6760009527206,19.564000248909,19.3499994874001,19.1969997286797
"Kuwait","KWT",1.26299996953457,0.913999987649731,0.66100001335144,1.42199999280274,1.43600000347942,1.42499996628612,1.42099997214973
"Kyrgyz Republic","KGZ",44.6609983444214,43.5569987297058,40.783998966217,38.4159984588624,37.7599997520447,37.6920003890991,37.5829997062684
"Lao PDR","LAO",76.9679985046387,76.3339977264405,75.7009983062745,75.0550003051758,74.4029998779297,73.746997833252,73.1119995117187
"Late-demographic dividend","LTE",41.1303573244382,40.5496164718126,39.9666453311059,39.5164458799606,39.0096325717874,38.5981792757781,38.4203589882512
"Latin America & Caribbean","LCN",31.8626144085776,31.8342581632876,32.3522885260611,32.6209127853793,32.9209345019724,32.9957895617482,33.0487961135232
"Latin America & Caribbean (excluding high income)","LAC",32.3978123998626,32.3430462816935,32.874608208745,33.1136431602428,33.3906341167603,33.4455305080249,33.5062405876655
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",32.0762414582642,32.036405357347,32.5286566837723,32.7669855908824,33.0399123154006,33.1157390995247,33.1713208500018
"Latvia","LVA",8.29399979114532,8.70100021362305,9.72100031375885,9.92400002479553,8.7130001783371,7.41999989748001,7.33300018310547
"Least developed countries: UN classification","LDC",68.2307759660738,67.8285870187977,67.4749644546535,67.1283944729854,66.5954129088741,66.4293195226608,66.2830538939723
"Lebanon","LBN",31.0130002498627,30.9889993667602,30.9800000190734,30.9350004196167,30.9180006980896,30.8830006122589,30.8339993953705
"Lesotho","LSO",14.4620003700256,14.364000082016,14.2749998569489,14.1760003566742,14.1419999599457,14.0569996833801,13.9830002784729
"Liberia","LBR",67.2480010986328,66.6710004806519,66.1320004463196,65.5389990806579,65.4380006790161,65.3729996681214,65.403998374939
"Libya","LBY",6.4930000603199,6.51000010967254,6.43599992990494,6.42199996113777,6.30599978566169,6.37199977040291,6.42399981617927
"Lithuania","LTU",10.7420004606247,10.7340003252029,11.3250002861023,11.9100000858306,11.1890001296997,10.8399995565414,10.7029997110367
"Low & middle income","LMY",53.0575363909787,52.6199787805638,52.093601849212,51.7223222997381,51.3228789888167,50.9487818515577,50.8680378397564
"Low income","LIC",73.5625415381046,73.3491387840666,73.2041615099736,73.0808550933263,72.9146287457093,72.8439466456654,72.7475812136321
"Lower middle income","LMC",65.0126614904428,64.5643363368248,63.8441002625964,63.0540937362614,62.3933030303576,61.6800486782289,61.4054461642099
"Luxembourg","LUX",6.13499988615513,6.47499996423721,6.00800013542176,6.13099974393845,5.98799997568131,5.73300004005432,5.69899994134903
"Macao SAR, China","MAC",4.83500013872981,3.96700005233288,4.34800015389919,4.40699980035424,4.24800002574921,4.15699987486005,4.18500008434057
"Madagascar","MDG",81.7230014801025,81.548002243042,81.3489990234375,81.2480010986328,81.1379985809326,81.0120010375976,80.8980026245117
"Malawi","MWI",54.5550003051758,54.3459992408753,54.1950011253357,54.0440015792846,53.8619990348816,53.6840009689331,53.5249986648559
"Malaysia","MYS",20.8059997558594,19.3550002574921,20.050000667572,20.4060006141663,20.3529999256134,20.2870004177094,20.2250008583069
"Maldives","MDV",17.1850001811981,16.9380002021789,16.117999792099,15.2550001144409,15.4029998779297,15.5729999542237,15.6519999504089
"Mali","MLI",74.3689975738525,73.9960002899169,73.6859989166259,73.4140014648437,74.7050018310547,75.9239978790283,75.7009983062745
"Malta","MLT",12.1939998175949,11.5080003514885,11.8909996263683,12.7829998247325,12.9100001752377,12.7309995815158,12.5460003726184
"Mauritania","MRT",47.0920000076294,46.8370003700256,46.7339997291565,46.5350017547607,46.2750005722046,46.0150008201599,45.6659989356995
"Mauritius","MUS",18.9820008277893,17.4529998302459,18.4889998435974,17.6339994072914,18.1890000104904,18.1510006189347,18.0929991006851
"Mexico","MEX",26.658998966217,26.4490008354187,26.0219998359681,25.3919997215271,25.5049998760223,25.3500001430512,25.5050001144409
"Middle East & North Africa","MEA",24.4714449509641,24.013374806516,23.9310041492523,23.4141474286045,23.6943175482734,23.5974541885009,23.4667431577848
"Middle East & North Africa (excluding high income)","MNA",30.633855040931,30.2715313824698,30.3406865174942,29.6908976603203,30.0784878329886,29.9745434477116,29.8262113540309
"Middle East & North Africa (IDA & IBRD countries)","TMN",30.6891212595747,30.3271435723928,30.3991087508492,29.746686575833,30.1448492018244,30.0341692186487,29.8863751519608
"Middle income","MIC",51.3825216295016,50.900837728007,50.3111430503654,49.8824948705246,49.4289096409821,48.9921471629442,48.8721661470063
"Moldova","MDA",34.370001912117,36.6440007686615,42.1940011978149,40.3099999427796,38.8369994163513,40.9950001239777,40.8500015735626
"Mongolia","MNG",51.6460003256798,50.8800008296967,51.0410013198853,48.7439997196197,51.9720009565354,51.6799998283387,51.2839984893799
"Montenegro","MNE",9.64600026607514,12.8599996566772,13.8300000429154,15.206999540329,16.1249997615814,16.8000004291534,16.4890002012253
"Morocco","MAR",45.7120008468628,45.7189979553223,45.2509994506836,44.948000907898,44.4769992828369,44.0459995269775,43.6359996795655
"Mozambique","MOZ",74.3540000915527,73.8960018157959,73.4539985656739,73.2610015869141,73.0289983749389,72.8569984436035,72.7670001983643
"Myanmar","MMR",62.2299995422364,61.4659996032715,60.7370014190674,60.0339984893799,59.3229999542236,58.6359977722168,57.9689998626709
"Namibia","NAM",23.4729995727539,22.1899995803833,20.3430001735688,18.7899999618531,21.4100005626678,24.2679996490479,24.1089994907379
"Nepal","NPL",68.3690013885498,67.5440006256103,66.8339996337891,66.4450016021729,65.9779987335205,65.5259990692138,65.1770000457763
"Netherlands","NLD",13.8769997656346,14.3869998753071,14.5009995400905,14.3249996900558,14.3589995503425,14.2039995342493,14.1510001420975
"New Caledonia","NCL",13.3669999688863,13.3520002812147,13.2850004136562,13.2369996458292,13.1929996758699,13.1400002986193,13.0809998512268
"New Zealand","NZL",12.6359997987747,13.4559997320175,13.1819996833801,13.8479997515678,13.7079999446869,13.6079999804497,13.5760001540184
"Nicaragua","NIC",37.2560005187989,35.7540006637573,35.6299991607666,35.4889993667603,35.3620004653931,35.9680004119873,36.3870010375976
"Niger","NER",90.0740013122558,91.3240013122559,91.262996673584,91.1899967193603,91.1140022277832,91.0270023345947,90.9409980773926
"Nigeria","NGA",72.1939992904663,72.1019983291626,72.0780019760132,72.1460008621216,71.9769983291626,71.8569993972778,71.7769985198974
"North America","NAC",5.1561190948409,5.11129026076148,5.14630889260131,5.16725680854153,4.98905646120056,5.07281620743438,5.04844834229466
"North Macedonia","MKD",24.5539999008179,24.9229998588562,23.9220004081726,21.4349994659424,20.692999124527,21.0579996109009,20.7519993782044
"Norway","NOR",6.74099980294704,6.87700001895428,6.66999997198582,6.50899992883206,6.00600004941225,6.16400016844273,6.18800012022257
"OECD members","OED",14.3248710708972,14.2447177915137,14.0678183222966,13.9912331769684,13.8976810408376,13.8714407351097,13.8526045228834
"Oman","OMN",2.32000000774861,2.3500000089407,2.36600004136562,2.37300010025502,2.4220000654459,2.44799992442131,2.48600007593631
"Other small states","OSS",23.1598910130222,23.169673365013,22.9873836712243,22.828280123743,22.9058536650291,22.9999384061252,22.956541688008
"Pacific island small states","PSS",49.8299788654657,49.8497973281751,49.8252321300936,49.7422198081246,49.7112672872105,49.5867933064585,49.454388583538
"Pakistan","PAK",54.577998161316,55.2239990234375,54.8659982681275,55.8190002441406,53.693998336792,51.6550006866455,51.5110006332398
"Panama","PAN",30.7769994735717,31.1659991741181,31.8689997196198,32.8929996490478,33.6860005855561,34.7380003929139,34.7499992847442
"Papua New Guinea","PNG",70.7610015869141,70.2029991149903,69.8050003051758,69.5820026397705,69.454999923706,69.3710021972657,69.1689987182618
"Paraguay","PRY",36.7020006179809,35.0450005531312,36.7940006256103,37.1480007171631,35.8560004234314,35.4269995689392,35.3400006294251
"Peru","PER",42.5879993438721,43.8319997787475,43.6399998664856,44.104998588562,45.3049993515015,44.9000005722046,44.6199984550476
"Philippines","PHL",36.2169990539551,36.8229990005494,35.5029993057251,32.3649997711181,31.5689992904663,30.0729994773864,29.7870001792907
"Poland","POL",19.2679991722107,19.0549991130829,19.1370005607605,18.7790001630783,18.6169997453689,18.5700002908706,18.4309991598129
"Portugal","PRT",19.1070007681847,17.1660007536412,16.037999689579,15.5229995846748,14.6110001802445,14.1669998764992,14.1820004284382
"Post-demographic dividend","PST",10.4588014140368,10.3509533384058,10.221182966386,10.1604972296669,10.0098126116581,9.95342688436034,9.91574439501754
"Pre-demographic dividend","PRE",68.9107063558576,68.4386428217606,68.0956479246308,67.7997063796299,67.5972419295618,67.4706532399823,67.3472315206247
"Puerto Rico","PRI",15.6300004720688,16.2450002431869,16.8119996786117,16.8600000143051,16.908999800682,16.9990005046129,16.9390004873276
"Qatar","QAT",0.218999996781349,0.172999994829297,0.160000005271286,0.152000006055459,0.154999995604158,0.155999997630716,0.158000001683832
"Romania","ROU",31.2829995155334,30.8699998855591,28.4399995803832,26.5109992027283,26.3040008544922,24.8780002593994,24.5599994659424
"Russian Federation","RUS",6.40499991178513,6.31200024485588,6.39799997210503,6.83800008893013,5.89300015568733,5.89700004458427,5.87799996137619
"Rwanda","RWA",61.6159982681274,59.28600025177,58.9859981536866,58.7849998474121,58.5609998703003,58.246000289917,57.9780006408691
"Samoa","WSM",30.8690003156662,31.2980000972747,31.8250007629395,32.2830009460449,33.0529994964599,32.9749999046326,32.8459992408752
"Sao Tome and Principe","STP",45.5949995517731,45.2899997234344,45.1159989833832,44.8810012340546,44.6650018692017,44.4850015640259,44.3239998817443
"Saudi Arabia","SAU",3.81399995088578,3.32999993115664,3.23699989356101,3.25900004059076,3.28399997018277,3.27300005219876,3.29499996080995
"Senegal","SEN",62.9799995422364,61.82200050354,60.681001663208,60.4120006561279,60.0989990234375,59.7859992980957,59.5329990386963
"Serbia","SRB",30.831000328064,30.719000339508,29.4059991836548,30.715000629425,29.5660004615783,27.1950004100799,26.8989996910095
"Sierra Leone","SLE",80.7130031585694,80.5949988365173,81.0630021095276,80.8370027542115,80.6730012893677,80.5089969635009,80.3580021858215
"Singapore","SGP",10.3750001490116,11.1759999096394,10.222000002861,10.8819999694824,12.0980004072189,11.8869995474815,11.8750002682209
"Slovak Republic","SVK",16.0289997011423,15.4989997074008,14.943000100553,15.1090003103018,14.9450004622341,14.9169997498393,14.7909996062517
"Slovenia","SVN",15.1459999084472,16.0019998550415,14.2070000171662,12.0859999656677,12.021999835968,12.831999540329,12.6380002498627
